PLACEKEY,LATITUDE,LONGITUDE,TOP_CATEGORY,CITY,REGION,POSTAL_CODE,STREET_ADDRESS,RAW_VISIT_COUNTS,RAW_VISITOR_COUNTS,IS_SYNTHETIC,WKT_AREA_SQ_METERS,ISO_COUNTRY_CODE,NORMALIZED_VISITS_BY_STATE_SCALING,NORMALIZED_VISITS_BY_REGION_NAICS_VISITS,NORMALIZED_VISITS_BY_REGION_NAICS_VISITORS,NORMALIZED_VISITS_BY_TOTAL_VISITS,NORMALIZED_VISITS_BY_TOTAL_VISITORS
zzy-222@8f7-fpg-v9f,32.392284,-88.201161,Death Care Services,York,AL,36925,Bragg Rd @ State Highway 17,2.0,1.0,True,1236.0,US,26.0,0.0002649345172,0.000296097992,6.919578558e-07,5.77262507e-06
224-227@8f3-nzk-td9,30.309489,-87.684054,Personal Care Services,Gulf Shores,AL,36542,3947 Gulf Shores Pkwy,597.0,401.0,False,1747.0,US,7385.0,0.01275691057,0.01933132417,0.0002132888964,0.001846124394
222-22c@5pm-mv7-qs5,34.737546,-86.656442,Personal Care Services,Huntsville,AL,35816,4925 University Dr NW,707.0,630.0,False,686.0,US,8762.0,0.01503032749,0.02278259252,0.0002526298732,0.002175998824
226-222@8gh-tq5-q9f,31.313232,-85.853366,Personal Care Services,Enterprise,AL,36330,200 S Main St,280.0,199.0,False,1954.0,US,3476.0,0.005920947258,0.008978432032,0.0001000998617,0.000865756219
zzw-223@8f3-g99-m49,30.804251,-88.073123,Personal Care Services,Saraland,AL,36571,801 Saraland Blvd S,15.0,13.0,False,881.0,US,187.0,0.00029319179,0.0004468002021,5.223799057e-06,4.523261143e-05
zzw-223@8f3-fw4-d5f,30.639918,-88.185094,Bakeries and Tortilla Manufacturing,Mobile,AL,36609,6207 Cottage Hill Rd Ste B,252.0,230.0,False,1523.0,US,3134.0,0.09171351109,0.09870414625,9.170051334e-05,0.0007901156232
224-223@5pm-mtc-fmk,34.720791,-86.589937,Other Wood Product Manufacturing,Huntsville,AL,35801,1107 Monroe St SW,84.0,84.0,False,523.0,US,1051.0,0.2889792753,0.289651453,3.02793894e-05,0.0002601229998
222-223@5pn-29s-hh5,34.143133,-87.990517,Lumber and Other Construction Materials Merchant Wholesalers,Hamilton,AL,35570,210 Bexar Ave W,99.0,46.0,False,1168.0,US,1219.0,1.215625966,1.218592225,3.487434948e-05,0.0003025012055
222-222@8gk-tb9-6tv,33.626084,-86.779795,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",Birmingham,AL,35217,2501 Cone Dr,100.0,39.0,False,1378.0,US,1244.0,0.02850225013,0.03081234674,3.582839062e-05,0.0003094101654
222-222@8gm-9nk-h89,33.45222,-86.977407,"Automotive Parts, Accessories, and Tire Stores",Hueytown,AL,35023,3010 Allison Bonnett Memorial Dr,17.0,15.0,False,705.0,US,213.0,0.003141326816,0.00329414537,6.27448789e-06,5.228881387e-05
236-222@8f3-g9b-835,30.76114,-88.072988,"Automotive Parts, Accessories, and Tire Stores",Chickasaw,AL,36611,112 Howell St,19.0,19.0,False,187.0,US,246.0,0.006741035264,0.006892866729,6.787008148e-06,5.901533181e-05
zzw-222@8f3-hv4-ht9,30.667647,-87.760104,Furniture Stores,Loxley,AL,36551,30427 County Road 49,117.0,91.0,False,10987.0,US,1459.0,0.01148440146,0.01258577305,4.212208668e-05,0.000363615283
222-225@5pm-gtt-ckf,34.57831,-86.97921,Furniture Stores,Decatur,AL,35601,628 14th St SE,172.0,78.0,False,1291.0,US,2136.0,0.01641016569,0.0180195832,6.115748629e-05,0.0005316302973
222-222@5pm-msy-kvf,34.780457,-86.651168,Building Material and Supplies Dealers,Huntsville,AL,35806,325 Blake Bottom Rd NW,103.0,80.0,False,2068.0,US,1292.0,0.3778338321,0.4011044321,3.789683679e-05,0.0003250554227
zzw-224@8gm-hvf-vmk,33.621593,-85.809342,Lawn and Garden Equipment and Supplies Stores,Anniston,AL,36207,1715 Hillyer Robinson Industrial Pkwy,52.0,52.0,False,1417.0,US,630.0,0.4115833782,0.4131530498,1.746504204e-05,0.0001533918524
223-222@8f3-nzk-qmk,30.298678,-87.68131,Grocery Stores,Gulf Shores,AL,36542,160 Cotton Creek Dr Ste 100,4212.0,2022.0,False,4424.0,US,51989.0,0.1305709911,0.1521180586,0.001502837989,0.01298717529
22c-222@8gm-95j-j7q,33.544303,-86.874675,Grocery Stores,Birmingham,AL,35214,603 Forestdale Blvd,225.0,225.0,False,146.0,US,2773.0,0.008840545127,0.01008365923,7.731915221e-05,0.000680880273
222-222@8f3-hd6-26k,30.827477,-88.356507,Specialty Food Stores,Wilmer,AL,36587,6525 Wilmer Georgetown Rd,157.0,79.0,False,1042.0,US,1931.0,0.3757861552,0.3764343517,5.4110857e-05,0.0004734421364
zzw-222@8gn-kp4-hdv,32.597537,-85.162478,Services to Buildings and Dwellings,Smiths Station,AL,36877,1055 Lee Rd # 424,8.0,2.0,False,268.0,US,98.0,0.0004018302401,0.0004844379947,2.691452658e-06,2.381289186e-05
222-222@8gm-xm8-cbk,32.489144,-86.993136,Services to Buildings and Dwellings,Valley Grande,AL,36703,287 Old Stage Rd,8.0,2.0,True,1236.0,US,103.0,0.0004475842501,0.0005399261552,2.961992646e-06,2.540421642e-05
225-222@5pm-mtx-gkz,34.717964,-86.673734,Specialty Food Stores,Huntsville,AL,35806,355 The Bridge St Ste 115,282.0,229.0,False,80.0,US,3492.0,0.3326193986,0.3438529206,0.0001005890001,0.0008728717447
222-222@8gk-t78-vvf,33.568445,-86.678869,Residential Building Construction,Birmingham,AL,35210,2225 Ruffner Rd,3.0,2.0,False,479.0,US,38.0,0.0003029743601,0.0003333655337,1.098365592e-06,9.484306484e-06
